,date
0,2020-11-18
1,2020-11-25
2,2020-10-20
3,2020-11-05
4,2020-10-01
5,2020-11-02
6,2020-11-27
7,2020-10-22
8,2020-10-30
9,2020-10-13
10,2020-10-09
11,2020-10-03
12,2020-10-23
13,2020-10-16
14,2020-11-04
15,2020-11-06
16,2020-11-23
17,2020-10-06
18,2020-10-24
19,2020-10-05
20,2020-11-11
21,2020-10-29
22,2020-10-28
23,2020-10-07
24,2020-11-12
25,2020-10-14
26,2020-10-15
27,2020-10-02
28,2020-11-28
29,2020-11-03
30,2020-11-13
31,2020-11-20
32,2020-10-19
33,2020-11-14
34,2020-11-24
35,2020-11-30
36,2020-11-10
37,2020-11-26
38,2020-11-17
39,2020-10-08
40,2020-11-16
41,2020-10-27
42,2020-11-19
