DATE;t1;t2;QUANTITY;TRUCK_NBR;SHIP_LOC;ORDER_ID
2020-10-05;19817,62;19834,91;3194,5;120;8;85
2020-10-06;23677,195;23646,096666666668;3754,5;140;8;116
2020-10-07;14276,185;14320,821666666667;2512,5;128;8;66
2020-10-08;23884,481666666667;23821,203333333335;4305,0;143;8;101
2020-10-09;18601,753333333334;18543,048333333332;3266,5;133;8;104
2020-10-10;780,8416666666667;780,8416666666667;267,0;13;1;5
2020-10-19;20079,911666666667;19915,853333333333;3009,5;137;8;94
2020-10-20;16066,13;16012,09;2638,0;136;8;85
2020-10-21;5760,576666666667;5760,576666666667;1164,5;76;6;41
2020-10-22;24834,935;24781,813333333335;3494,0;151;8;114
2020-10-23;22835,233333333334;22580,176666666666;3837,5;145;8;117
2020-10-24;4409,54;4416,1483333333335;957,5;39;3;10
2020-10-26;12535,121666666666;12508,133333333333;1839,5;117;8;67
2020-10-27;22664,89;22524,038333333334;3592,0;158;8;100
2020-10-28;22235,711666666666;22373,965;3104,5;149;7;117
2020-10-29;23265,27666666667;23250,876666666667;3943,5;153;8;128
2020-10-30;19955,133333333335;19709,506666666668;3524,0;153;8;99
2020-10-31;1116,5183333333332;1087,02;375,0;15;2;4
2020-11-02;22515,006666666668;22520,951666666668;3107,5;133;8;99
2020-11-03;23505,733333333334;23743,871666666666;4049,5;146;8;94
2020-11-04;23991,503333333334;23891,326666666668;3965,5;153;8;113
2020-11-05;23342,648333333334;23450,425;4080,0;148;8;113
2020-11-06;20887,72;20746,17166666667;3359,5;143;8;116
2020-11-07;856,6983333333334;856,6983333333334;333,5;18;2;6
2020-11-09;13192,386666666667;13211,453333333335;1746,5;98;7;63
2020-11-10;21051,133333333335;20978,245;3499,5;146;8;114
2020-11-11;22541,405;22692,111666666668;3437,5;144;8;101
2020-11-12;22283,566666666666;22031,551666666666;3684,5;143;8;92
2020-11-13;22073,52;21986,588333333333;3670,5;145;8;108
2020-11-14;1933,1666666666667;1933,1666666666667;388,0;19;2;7
2020-11-16;20659,1;20699,148333333334;2939,5;137;7;89
2020-11-17;21968,295000000002;21870,015;3288,5;142;8;106
2020-11-18;20548,195;20611,428333333333;3548,5;141;8;99
2020-11-19;21708,926666666666;21810,36;3447,5;144;8;109
2020-11-20;22180,565;22414,516666666666;3401,5;144;8;114
2020-11-21;1315,3383333333334;1315,3383333333334;226,5;13;1;11
2020-11-23;18796,718333333334;18788,213333333333;2595,0;129;7;68
2020-11-24;16746,976666666666;16716,836666666666;2697,5;129;8;79
2020-11-25;18890,948333333334;18946,961666666666;2457,5;140;7;81
2020-11-26;20694,205;20610,923333333332;2971,0;135;7;84
2020-11-27;19828,178333333333;19757,920000000002;3129,5;140;7;79
2020-11-28;2429,6400000000003;2429,6400000000003;776,0;31;3;8

