;date;distance
0;2020-10-05;20190.71
1;2020-10-06;24036.51
2;2020-10-07;14512.18
3;2020-10-08;24596.95
4;2020-10-09;18795.23
5;2020-10-10;1059.11
6;2020-10-19;20849.25
7;2020-10-20;16979.21
8;2020-10-21;5970.40
9;2020-10-22;25509.98
10;2020-10-23;24441.48
11;2020-10-24;5300.49
12;2020-10-26;12671.04
13;2020-10-27;23303.72
14;2020-10-28;23376.92
15;2020-10-29;23888.48
16;2020-10-30;20889.70
17;2020-10-31;1494.98
18;2020-11-02;22604.65
19;2020-11-03;24700.60
20;2020-11-04;24743.55
21;2020-11-05;24048.91
22;2020-11-06;21749.94
23;2020-11-07;1517.21
24;2020-11-09;13259.39
25;2020-11-10;22079.83
26;2020-11-11;23540.65
27;2020-11-12;23361.64
28;2020-11-13;23027.68
29;2020-11-14;2349.41
30;2020-11-16;22066.96
31;2020-11-17;23517.32
32;2020-11-18;21204.48
33;2020-11-19;23373.65
34;2020-11-20;23373.37
35;2020-11-21;1791.85
36;2020-11-23;20064.05
37;2020-11-24;17824.77
38;2020-11-25;19385.29
39;2020-11-26;21586.98
40;2020-11-27;20882.42
41;2020-11-28;3377.40
