Date;Heure;Probleme;Name;satisfiedCost;undeliveredCost;travelCost;distanceCost;firstDeliveryCost;maxfirstDelivery;clientWaitingCost;driverUsed;underWorkCost;overTimeCost;Depot;runtime;MAX_OVERTIME;INTRA_ORDER_DELIVERY;INTER_ORDER_DELIVERY;FIRST_DEL_MAX_ARRIVA;LOCAL_SEARCH
2023-8-9;1:3:11;cq;20201010;267;0;745.097;523.463;0;0;0;13;0;0;1;574066;120;20;25;60;0
2023-8-10;14:33:10;cq;20201128;776;0;2257.55;1679.19;0;0;0;31;0;0;3;3009031;99999999;20;25;60;1
2023-8-10;14:33:21;cq;20201114;388;0;1639.37;1327.87;0;0;20;19;0;0;2;3020603;99999999;20;25;60;1
2023-8-10;14:33:25;cq;20201024;937.5;0;3849.41;3550.78;0;0;0;35;0;0;3;3023795;99999999;20;25;60;1
2023-8-10;14:33:26;cq;20201031;375;0;1014.25;702.885;0;0;0;15;0;0;2;3025328;99999999;20;25;60;1
2023-8-10;14:33:28;cq;20201013;1565;0;8294.86;7696.32;0;0;5;95;0;0;8;3026342;99999999;20;25;60;1
2023-8-10;14:33:29;cq;20201003;613.5;0;3209.34;3298.72;0;0;0;27;0;0;3;3027806;99999999;20;25;60;1
2023-8-10;14:33:31;cq;20201010;267;0;745.097;523.463;0;0;0;13;0;0;1;3023300;99999999;20;25;60;1
2023-8-10;14:33:38;cq;20201107;333.5;0;753.263;471.468;0;0;0;18;0;0;2;3036973;99999999;20;25;60;1
2023-8-10;14:33:41;cq;20201021;1160.5;0;5381.71;4875.4;0;0;0;71;0;0;6;3039467;99999999;20;25;60;1
2023-8-10;14:34:6;cq;20201121;226.5;0;1243.55;958.349;0;0;0;13;0;0;1;3057328;99999999;20;25;60;1
2023-8-10;14:37:7;cq;20201020;2673;0;17472.9;16732;78.5572;28.9083;0;129;0;0;8;3015208;99999999;20;25;60;1
2023-8-10;14:37:17;cq;20201016;2060;0;10824.9;10040.5;0;0;15;109;0;0;8;3026563;99999999;20;25;60;1
2023-8-10;14:37:20;cq;20201026;1839.5;0;11693.4;10846.1;0;0;44;114;0;0;8;3029029;99999999;20;25;60;1
2023-8-10;14:37:32;cq;20201007;2512.5;0;13735.8;12506.8;0;0;0;121;0;0;8;3040860;99999999;20;25;60;1
2023-8-10;14:37:35;cq;20201125;2425;0;17766.8;16502.1;114.231;45.3733;0;131;0;0;7;3043976;99999999;20;25;60;1
2023-8-10;14:37:38;cq;20201123;2595;0;19067.5;17681.2;130.18;47.95;0;124;0;0;7;3044264;99999999;20;25;60;1
2023-8-10;14:37:47;cq;20201124;2685.5;0;16621;14936.4;50.8505;25.7542;0;119;0;0;8;3055683;99999999;20;25;60;1
2023-8-10;14:37:56;cq;20201002;2893.5;0;18301.4;17071;3.53111;1.78778;0;128;0;0;8;3064555;99999999;20;25;60;1
2023-8-10;14:38:9;cq;20201130;2327.5;0;14684.8;13067.7;49.4435;18.9117;25;117;0;0;6;3078453;99999999;20;25;60;1
2023-8-10;14:38:11;cq;20201109;1746.5;0;12803;11738.8;0;0;0;93;0;0;7;3070940;99999999;20;25;60;1
2023-8-10;14:40:47;cq;20201102;3078.5;0;21850.4;20797.8;4.84167;4.84167;21;132;0;0;8;3015374;99999999;20;25;60;1
2023-8-10;14:40:48;cq;20201111;3437.5;0;24114.1;22527.1;38.8099;9;0;143;0;0;8;3016871;99999999;20;25;60;1
2023-8-10;14:40:49;cq;20201009;3229;0;19738.7;18218.7;63.8502;19.0117;0;129;0;0;8;3017651;99999999;20;25;60;1
2023-8-10;14:40:50;cq;20201014;3471;0;23300.3;22127.1;188.41;38.2617;0;137;0;0;8;3017649;99999999;20;25;60;1
2023-8-10;14:41:1;cq;20201120;3401.5;0;22643.5;20607.2;74.4013;19.6988;0;140;0;0;8;3030103;99999999;20;25;60;1
2023-8-10;14:41:32;cq;20201126;2971;0;20985.2;19618.8;407.288;57.46;0;133;0;0;7;3061229;99999999;20;25;60;1
2023-8-10;14:41:34;cq;20201116;2939.5;0;20750.1;19104.5;173.513;29.24;29;136;0;0;7;3062662;99999999;20;25;60;1
2023-8-10;14:41:38;cq;20201106;3350.5;0;20638.3;19358;209.774;52.3025;0;138;0;0;8;3066869;99999999;20;25;60;1
2023-8-10;14:42:29;cq;20201110;3499.5;0;21027.9;19382;443.906;59.2483;0;141;0;0;8;3117827;99999999;20;25;60;1
2023-8-10;14:42:30;cq;20201030;3513;0;22344.3;20740.3;73.3216;11.5209;0;148;0;0;8;3118564;99999999;20;25;60;1
2023-8-10;14:44:36;cq;20201006;3739.5;0;25062.9;23650.9;73.9261;22.7628;15;137;0;0;8;3020156;99999999;20;25;60;1
2023-8-10;14:44:57;cq;20201113;3670.5;0;24011.5;22547.7;242.624;56.125;0;144;0;0;8;3038120;99999999;20;25;60;1
2023-8-10;14:45:14;cq;20201029;3946.5;0;24184.1;22251.4;297.749;55.1289;0;150;0;0;8;3057468;99999999;20;25;60;1
2023-8-10;14:45:22;cq;20201118;3541;0;20141.8;18600.1;467.986;51.6143;0;138;0;0;8;3066905;99999999;20;25;60;1
2023-8-10;14:45:37;cq;20201104;3953.5;0;24975.2;23591.8;726.582;56.6721;0;148;0;0;8;3081976;99999999;20;25;60;1
2023-8-10;14:47:17;cq;20201112;3684.5;0;22476.4;20937.4;44.5743;16.8033;0;142;0;0;8;3180826;99999999;20;25;60;1
2023-8-10;16:9:56;cq;20201010;267;0;745.097;523.463;0;0;0;11;0;0;1;3006207;99999999;20;25;20;1
2023-8-10;16:9:56;cq;20201128;776;0;2208.92;1610.29;0;0;0;27;0;0;3;3008204;99999999;20;25;20;1
2023-8-10;16:9:58;cq;20201121;226.5;0;1243.55;958.349;0;0;0;13;0;0;1;3008109;99999999;20;25;20;1
2023-8-10;16:10:5;cq;20201031;375;0;1014.25;702.885;0;0;0;15;0;0;2;3016945;99999999;20;25;20;1
2023-8-10;16:10:6;cq;20201013;1565;0;8101.21;7480.13;0;0;61;95;0;0;8;3017336;99999999;20;25;20;1
2023-8-10;16:10:10;cq;20201024;937.5;0;3885.01;3541.9;0;0;0;33;0;0;3;3021812;99999999;20;25;20;1
2023-8-10;16:10:12;cq;20201003;613.5;0;3303;3340.1;0;0;0;27;0;0;3;3024216;99999999;20;25;20;1
2023-8-10;16:10:18;cq;20201114;388;0;1660.67;1342.93;0;0;0;18;0;0;2;3028483;99999999;20;25;20;1
2023-8-10;16:10:21;cq;20201107;333.5;0;753.263;471.468;0;0;0;18;0;0;2;3031213;99999999;20;25;20;1
2023-8-10;16:11:34;cq;20201021;1160.5;0;5259.48;4751.03;0;0;0;68;0;0;6;3106140;99999999;20;25;20;1
2023-8-10;16:13:43;cq;20201007;2512.5;0;13487.1;12278.8;0;0;11;127;0;0;8;3009541;99999999;20;25;20;1
2023-8-10;16:13:43;cq;20201125;2417.5;7.5;17864;16457.3;234.805;18.16;0;134;0;0;7;3009542;99999999;20;25;20;1
2023-8-10;16:13:51;cq;20201002;2893.5;0;17536;16339.1;10.4617;8;43;131;0;0;8;3017741;99999999;20;25;20;1
2023-8-10;16:13:53;cq;20201020;2673;0;15322.1;14599.6;150.048;13;0;121;0;0;8;3018475;99999999;20;25;20;1
2023-8-10;16:13:55;cq;20201109;1746.5;0;12704.5;11616;0;0;12;93;0;0;7;3021305;99999999;20;25;20;1
2023-8-10;16:13:55;cq;20201016;2060;0;10586.8;9844.42;0;0;0;107;0;0;8;3021685;99999999;20;25;20;1
2023-8-10;16:14:4;cq;20201026;1839.5;0;11684.9;10799.6;0;0;0;113;0;0;8;3030412;99999999;20;25;20;1
2023-8-10;16:14:7;cq;20201124;2685.5;0;17174.1;15572.6;7.435;5.24;0;122;0;0;8;3033646;99999999;20;25;20;1
2023-8-10;16:14:8;cq;20201130;2327.5;0;14634.5;13051;10.0905;5.12833;0;112;0;0;6;3034761;99999999;20;25;20;1
2023-8-10;16:14:22;cq;20201123;2576.5;18.5;17733.5;16238.3;145.972;19.5117;0;127;0;0;7;3048355;99999999;20;25;20;1
2023-8-10;16:17:37;cq;20201102;3078.5;0;22853.4;21755.9;7.305;2.33;3;131;0;0;8;3014052;99999999;20;25;20;1
2023-8-10;16:17:50;cq;20201110;3480.5;19;21484;19679.2;309.196;19.3333;0;142;0;0;8;3027501;99999999;20;25;20;1
2023-8-10;16:17:57;cq;20201116;2924;15.5;21185.3;19430.7;320.349;17.44;0;136;0;0;7;3033027;99999999;20;25;20;1
2023-8-10;16:17:58;cq;20201014;3471;0;22069.6;20949;66.4117;9.82833;0;137;0;0;8;3034360;99999999;20;25;20;1
2023-8-10;16:18:9;cq;20201126;2889.5;81.5;20300.1;19026;313.883;17.0383;0;133;0;0;7;3045226;99999999;20;25;20;1
2023-8-10;16:18:12;cq;20201106;3326.5;24;19797.8;18487.9;249.475;16.1329;0;141;0;0;8;3048615;99999999;20;25;20;1
2023-8-10;16:18:25;cq;20201111;3437.5;0;23177.6;21574.6;15.5294;14.3805;3;143;0;0;8;3062047;99999999;20;25;20;1
2023-8-10;16:18:41;cq;20201009;3229;0;18020.7;16617.5;29.7289;11.9367;0;128;0;0;8;3054482;99999999;20;25;20;1
2023-8-10;16:19:12;cq;20201120;3393.5;8;21572.1;19521.8;296.691;18.85;0;139;0;0;8;3108968;99999999;20;25;20;1
2023-8-10;16:19:24;cq;20201030;3500;13;19681.4;18070;237.92;16.6221;0;145;0;0;8;3117908;99999999;20;25;20;1
2023-8-10;16:21:24;cq;20201113;3670.5;0;23489.8;22012.8;413.304;19.25;0;144;0;0;8;3011575;99999999;20;25;20;1
2023-8-10;16:21:42;cq;20201118;3504;37;20605.1;19201.9;312.604;19.6433;0;139;0;0;8;3037396;99999999;20;25;20;1
2023-8-10;16:21:47;cq;20201029;3937.5;9;24040.4;22080.8;425.46;19.9471;0;150;0;0;8;3042435;99999999;20;25;20;1
2023-8-10;16:21:48;cq;20201112;3684.5;0;22608.4;21073.2;28.0404;8.29266;0;141;0;0;8;3042430;99999999;20;25;20;1
2023-8-10;16:22:7;cq;20201006;3714.5;25;22580.6;21157.7;376.864;18.52;0;138;0;0;8;3053472;99999999;20;25;20;1
2023-8-10;16:22:10;cq;20201104;3923;30.5;24366.8;22762;413.208;19.1233;0;147;0;0;8;3065010;99999999;20;25;20;1
